close,high,low,open,volume,returns,range,ma_12,ma_21,hmm,ma_signal,hmm_signal,main_signal,log_returns_benchmark,benchmark_product,benchmark_product_exp,log_returns_strategy,log_returns_product,strategy_product_exp
hbar_usd,hbar_usd,hbar_usd,hbar_usd,hbar_usd,,,,,,,,,,,,,,
0.08212199807167053,0.08524499833583832,0.07711800187826157,0.08109299838542938,104353170,0.015368577986468734,0.10538390855102842,0.09079091747601827,0.07627638110092708,0,1.0,1,1.0,0.01525167759878983,0.01525167759878983,0.015368577986468734,0.012609298683436524,0.012609298683436524,0.012689131080717786
0.08796100318431854,0.09008099883794785,0.07826700061559677,0.08212199807167053,98183204,0.07110159579351838,0.15094481875413557,0.08963958422342937,0.0783954764760676,0,1.0,1,1.0,0.06868764765151257,0.0839393252503024,0.0875629041999022,0.06823277259938584,0.08084207128282236,0.08419965678431618
0.0919409990310669,0.09793499857187271,0.08454199880361557,0.08792100101709366,133753648,0.045247276664278635,0.15841830046351313,0.0892660841345787,0.080526381198849,0,1.0,1,1.0,0.044253485811562826,0.12819281106186523,0.13677216381604151,0.045382519667143364,0.12622459094996574,0.1345369464020878
0.09464599937200546,0.09514500200748444,0.08966399729251862,0.0920030027627945,88736896,0.02942104577332838,0.06112826642208091,0.08909591721991698,0.08250152408367112,1,1.0,1,1.0,0.02899655272669979,0.15718936378856502,0.17021718968151878,0.026768031019493436,0.15299262196945917,0.16531638117117065
0.08965899795293808,0.09552200138568878,0.08663199841976166,0.09449899941682816,72781380,-0.05269109579017717,0.10261800637279572,0.08853433343271415,0.08404995252688725,0,1.0,1,1.0,-0.054130046577819974,0.10305931721074504,0.10855716364469803,-0.051394131314835,0.10159849065462417,0.10693893616368344
0.09740500152111053,0.09778700023889542,0.0893160030245781,0.08976499736309052,79447079,0.08639404571795817,0.09484299484367043,0.0888293335835139,0.08605876210190001,0,1.0,1,1.0,0.08286399706165505,0.1859233142724001,0.20432990192158806,0.08498276941412919,0.18658126006875336,0.2051225464479529
0.10202900320291519,0.1116819977760315,0.09718800336122513,0.09772700071334839,132641741,0.0474719122180034,0.1491335752719971,0.08968925041457017,0.08807019091078214,0,1.0,1,1.0,0.04637955834295976,0.23230287261535987,0.26150174530712644,0.04050803692113027,0.22708929698988362,0.2549419254734282
0.09631200134754181,0.10310400277376175,0.0899529978632927,0.10176700353622437,85797497,-0.05603310505742587,0.14619862842654197,0.09017133402327697,0.08973657197895504,0,1.0,1,1.0,-0.057664182368329896,0.17463869024702997,0.19081588548220596,-0.055290270050796536,0.17179902693908708,0.18743916594803522
0.09945099800825119,0.10096099972724915,0.09266000241041183,0.09629300236701965,67979290,0.032591957562820406,0.08958555040901395,0.09176100045442581,0.09140271480594363,0,1.0,1,1.0,0.0320721049020141,0.20671079514904406,0.22962690628697446,0.03142441699410547,0.20322344393319255,0.22534623384274188
0.10410500317811966,0.11235900223255157,0.09740199893712997,0.09936700016260147,111436409,0.04679696798500044,0.15355951067365559,0.09278191750248273,0.09300000078621365,0,0.0,1,1.0,0.04573499520901745,0.25244579035806153,0.2871697172539811,0.04812528450236745,0.25134872843556,0.28575838666945685
0.10762500017881393,0.11547300219535828,0.09981700032949448,0.10426600277423859,108611966,0.033811986871290944,0.15684704824011497,0.09451125065485637,0.09327847687971025,0,1.0,1,0.0,0.03325292867417007,0.2856987190322316,0.33069148283489613,0.0,0.25134872843556,0.28575838666945685
0.13396699726581573,0.14034700393676758,0.10396300256252289,0.10779599845409393,292001191,0.2447572315283233,0.34997066723196557,0.09893525019288063,0.09506628626868838,2,1.0,0,1.0,0.21894051614635482,0.5046392351785864,0.6563878461918846,0.21203906910027,0.46338779753583004,0.5894496075564419
0.13723599910736084,0.14044000208377838,0.12536300718784332,0.13325700163841248,140348898,0.02440154596477817,0.12026669776151566,0.10352808361252148,0.09699714325723194,3,1.0,1,0.0,0.02410858448381457,0.528747819662401,0.6968062703562359,0.0,0.46338779753583004,0.5894496075564419
0.1376429945230484,0.14728300273418427,0.12726399302482605,0.13703100383281708,132106702,0.0029656607474337626,0.15730301425834559,0.10766824955741565,0.09896119045359748,0,1.0,1,1.0,0.0029612718507772405,0.5317090915131782,0.7018384221082308,0.0054509741009194,0.4688387716367494,0.5981373129188543
0.12696999311447144,0.137814000248909,0.12198600172996521,0.13777999579906464,80281284,-0.0775411886784384,0.12975258057872496,0.11058733239769936,0.10053761871088118,0,1.0,1,1.0,-0.08071255303816686,0.45099653847501137,0.5698758479193207,-0.0827238952670858,0.38611487636966363,0.47125367338820934
0.14388500154018402,0.15178099274635315,0.11050699651241302,0.1268409937620163,177854250,0.13322051935895307,0.3734966792740937,0.1146905825783809,0.10302214253516424,2,1.0,0,1.0,0.12506359625729777,0.5760601347323091,0.7790155237082093,0.12606621816447477,0.5121810945341384,0.6689273163897633
